Код кейса,Код эксперимента,Эксперимент,Порядок внутри эксперимента,Служебная корзина,client_id,Fraud-score модели,Истинная метка fraud,Выборка модели,Название модели,Индекс исходной строки,Количество операций,"Совокупный оборот, $","Средний чек, $","Разброс сумм, $",Интенсивность операций,Доля активных дней,"Средняя пауза между операциями, сек.",Доля коротких пауз,Доля повторяющихся сумм,Доля неровных сумм,Доля дебетового контура,Доля оборота в риск-каналах,Объём риск-каналов в средних чеках,Композитный сигнал риск-каналов и сумм,Флаг короткой истории,Надёжность истории,Количество платёжных сценариев,Количество региональных признаков addr2,Основная платёжная система карты,Основной тип карты,"Длительность следа, дней",Почтовый домен,Есть технический след,Количество пропущенных identity-полей,Количество identity-записей,Заполненные identity-значения,Количество типов устройств,Описание профиля,case,R1,R2,R3,R1_num,R2_num,R3_num,majority_num,majority_decision,consensus_n,model_threshold_num,model_threshold_decision
R001,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,1,realistic_base_rate,14934_299.0_139,0.0103767730652093,0,base_realistic,lgbm_auc_unweighted_seed2026,134374,1,547.95,547.95,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.1,1,1,visa,credit,0.0,,0,0,0,0,,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: очень низкий. В профиле только 1 операция. Это почти пустая история: по ней видно конкретный эпизод, но ещё плохо видно обычное поведение клиента.
  - Длительность следа операций: однодневный след. Вся наблюдаемая активность уложилась в один день или меньше.
  - Надёжность выводов по профилю: очень короткая. Данных по клиенту пока очень мало, поэтому любые выводы стоит считать предварительными.
- Темп и ритм:
  - Интенсивность операций: умеренный. Интенсивность операций близка к средней части выборки: профиль не выглядит ни явно редким, ни чрезмерно плотным по темпу.
  - Паузы между операциями: нет данных. Для оценки пауз между операциями данных пока не хватает.
  - Плотные серии операций: очень низкая. Плотные серии встречаются редко: 0,0%. Деньги не выглядят как поток, который постоянно проходит почти без пауз.
  - Распределение активности по дням: равномерно по дням. Активность замечена в 100,0% дней наблюдаемого периода. Поведение распределено по времени, а не собрано в короткий всплеск.
- Денежный рисунок:
  - Совокупный оборот: высокий. За весь наблюдаемый след по профилю прошло около $547.95. По масштабу это высокий уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: очень высокий. Типичный размер одной операции около $547.95. Это очень высокий чек относительно выборки.
  - Разброс сумм: очень низкий. Оценочный разброс вокруг типичного чека около $0.00. Суммы операций в истории в основном похожи друг на друга.
  - Повторы одних и тех же сумм: очень низкая. Одинаковые суммы почти не повторяются: 0,0%. Поведение не выглядит шаблонным по суммам.
  - Неровные суммы: очень высокая. Неровных сумм много: 100,0%. Суммы часто выглядят нетипично для спокойного клиентского профиля.
- Сценарий движения средств:
  - Дебетовый контур операций: очень низкая. Доля операций по дебетовым картам среди операций с понятным карточным контуром низкая: 0,0%. По этому признаку профиль не выглядит как активное расходование/перевод средств дальше.
  - Операции в более рискованных платёжных каналах: очень низкая. Через более рискованные платёжные каналы проходит малая часть оборота: 0,0%. В обучающей базе каналы C/H/S в сумме давали около 9,1% fraud против 2,2% у остальных, но у этого клиента такой сигнал выражен слабо.
  - Объём в риск-каналах относительно обычного чека: нет заметного объёма. Через более рискованные каналы почти не было оборота относительно обычного размера операции клиента.
  - Признак быстрого прогона заметных сумм: очень низкая. Сочетание рискованных каналов и заметных сумм выражено слабо: профиль не похож на быстрый прогон ощутимых денег.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: один сценарий. В наблюдаемой истории клиент действует в одном и том же платёжном сценарии.
  - Карточный профиль: контекст. Основная платёжная система: visa; тип карты: credit.
  - След устройства и онлайн-сеанса: данных мало. По клиенту почти нет технической информации об устройстве, браузере и онлайн-сеансе.
  - Смена устройств: нет данных. Данных о разнообразии устройств нет.
  - Почтовый домен: нет домена. Email-домен в профиле не выделился. Для ручной проверки это означает, что по почте нет нормальной опоры для сопоставления.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R001,на контроль,пропуск,на контроль,1.0,0,1,1,на контроль,2,0,пропуск
R002,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,2,realistic_base_rate,12544_476.0_72,0.0035104958298823,0,base_realistic,lgbm_auc_unweighted_seed2026,15957,1,54.5,54.5,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0.1,1,1,visa,debit,0.0,gmail.com,0,0,0,0,,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: очень низкий. В профиле только 1 операция. Это почти пустая история: по ней видно конкретный эпизод, но ещё плохо видно обычное поведение клиента.
  - Длительность следа операций: однодневный след. Вся наблюдаемая активность уложилась в один день или меньше.
  - Надёжность выводов по профилю: очень короткая. Данных по клиенту пока очень мало, поэтому любые выводы стоит считать предварительными.
- Темп и ритм:
  - Интенсивность операций: умеренный. Интенсивность операций близка к средней части выборки: профиль не выглядит ни явно редким, ни чрезмерно плотным по темпу.
  - Паузы между операциями: нет данных. Для оценки пауз между операциями данных пока не хватает.
  - Плотные серии операций: очень низкая. Плотные серии встречаются редко: 0,0%. Деньги не выглядят как поток, который постоянно проходит почти без пауз.
  - Распределение активности по дням: равномерно по дням. Активность замечена в 100,0% дней наблюдаемого периода. Поведение распределено по времени, а не собрано в короткий всплеск.
- Денежный рисунок:
  - Совокупный оборот: низкий. За весь наблюдаемый след по профилю прошло около $54.50. По масштабу это низкий уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: умеренный. Типичный размер одной операции около $54.50. Это умеренный чек относительно выборки.
  - Разброс сумм: очень низкий. Оценочный разброс вокруг типичного чека около $0.00. Суммы операций в истории в основном похожи друг на друга.
  - Повторы одних и тех же сумм: очень низкая. Одинаковые суммы почти не повторяются: 0,0%. Поведение не выглядит шаблонным по суммам.
  - Неровные суммы: очень высокая. Неровных сумм много: 100,0%. Суммы часто выглядят нетипично для спокойного клиентского профиля.
- Сценарий движения средств:
  - Дебетовый контур операций: очень высокая. В профиле сильно преобладают операции по дебетовым картам: 100,0% среди операций с понятным карточным контуром. Такой рисунок ближе к сценарию активного расходования или перевода средств дальше.
  - Операции в более рискованных платёжных каналах: очень низкая. Через более рискованные платёжные каналы проходит малая часть оборота: 0,0%. В обучающей базе каналы C/H/S в сумме давали около 9,1% fraud против 2,2% у остальных, но у этого клиента такой сигнал выражен слабо.
  - Объём в риск-каналах относительно обычного чека: нет заметного объёма. Через более рискованные каналы почти не было оборота относительно обычного размера операции клиента.
  - Признак быстрого прогона заметных сумм: очень низкая. Сочетание рискованных каналов и заметных сумм выражено слабо: профиль не похож на быстрый прогон ощутимых денег.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: один сценарий. В наблюдаемой истории клиент действует в одном и том же платёжном сценарии.
  - Карточный профиль: контекст. Основная платёжная система: visa; тип карты: debit.
  - След устройства и онлайн-сеанса: данных мало. По клиенту почти нет технической информации об устройстве, браузере и онлайн-сеансе.
  - Смена устройств: нет данных. Данных о разнообразии устройств нет.
  - Почтовый домен: обычная почта. Основной домен почты — gmail.com. Это распространённый публичный почтовый домен, сам по себе он не выглядит странно.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R002,пропуск,пропуск,пропуск,0.0,0,0,0,пропуск,3,0,пропуск
R003,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,3,realistic_base_rate,6019_204.0_64,0.0069183197382081,0,base_realistic,lgbm_auc_unweighted_seed2026,151164,1,107.95,107.95,0.0,1.0,1.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.1,1,1,visa,credit,0.0,hotmail.com,0,0,0,0,,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: очень низкий. В профиле только 1 операция. Это почти пустая история: по ней видно конкретный эпизод, но ещё плохо видно обычное поведение клиента.
  - Длительность следа операций: однодневный след. Вся наблюдаемая активность уложилась в один день или меньше.
  - Надёжность выводов по профилю: очень короткая. Данных по клиенту пока очень мало, поэтому любые выводы стоит считать предварительными.
- Темп и ритм:
  - Интенсивность операций: умеренный. Интенсивность операций близка к средней части выборки: профиль не выглядит ни явно редким, ни чрезмерно плотным по темпу.
  - Паузы между операциями: нет данных. Для оценки пауз между операциями данных пока не хватает.
  - Плотные серии операций: очень низкая. Плотные серии встречаются редко: 0,0%. Деньги не выглядят как поток, который постоянно проходит почти без пауз.
  - Распределение активности по дням: равномерно по дням. Активность замечена в 100,0% дней наблюдаемого периода. Поведение распределено по времени, а не собрано в короткий всплеск.
- Денежный рисунок:
  - Совокупный оборот: умеренный. За весь наблюдаемый след по профилю прошло около $107.95. По масштабу это умеренный уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: умеренный. Типичный размер одной операции около $107.95. Это умеренный чек относительно выборки.
  - Разброс сумм: очень низкий. Оценочный разброс вокруг типичного чека около $0.00. Суммы операций в истории в основном похожи друг на друга.
  - Повторы одних и тех же сумм: очень низкая. Одинаковые суммы почти не повторяются: 0,0%. Поведение не выглядит шаблонным по суммам.
  - Неровные суммы: очень высокая. Неровных сумм много: 100,0%. Суммы часто выглядят нетипично для спокойного клиентского профиля.
- Сценарий движения средств:
  - Дебетовый контур операций: очень низкая. Доля операций по дебетовым картам среди операций с понятным карточным контуром низкая: 0,0%. По этому признаку профиль не выглядит как активное расходование/перевод средств дальше.
  - Операции в более рискованных платёжных каналах: очень низкая. Через более рискованные платёжные каналы проходит малая часть оборота: 0,0%. В обучающей базе каналы C/H/S в сумме давали около 9,1% fraud против 2,2% у остальных, но у этого клиента такой сигнал выражен слабо.
  - Объём в риск-каналах относительно обычного чека: нет заметного объёма. Через более рискованные каналы почти не было оборота относительно обычного размера операции клиента.
  - Признак быстрого прогона заметных сумм: очень низкая. Сочетание рискованных каналов и заметных сумм выражено слабо: профиль не похож на быстрый прогон ощутимых денег.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: один сценарий. В наблюдаемой истории клиент действует в одном и том же платёжном сценарии.
  - Карточный профиль: контекст. Основная платёжная система: visa; тип карты: credit.
  - След устройства и онлайн-сеанса: данных мало. По клиенту почти нет технической информации об устройстве, браузере и онлайн-сеансе.
  - Смена устройств: нет данных. Данных о разнообразии устройств нет.
  - Почтовый домен: обычная почта. Основной домен почты — hotmail.com. Это распространённый публичный почтовый домен, сам по себе он не выглядит странно.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R003,пропуск,пропуск,пропуск,0.0,0,0,0,пропуск,3,0,пропуск
R004,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,4,realistic_inserted_high_risk_fraud,15885__162,0.8696613445272332,1,test,lgbm_auc_unweighted_seed2026,23021,61,2993.2980000000007,49.07045901639346,40.66606935000563,3.030623651561084,0.1904761904761904,28984.13333333333,0.95,0.3934426229508196,1.0,1.0,0.999999999999666,60.99999999875688,0.980028143946334,0,1.0,1,0,visa,debit,20.12787037037037,gmail.com,1,1076,59,1166,2.0,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: очень высокий. В профиле 61 операция. История достаточно насыщенная: по ней можно увереннее судить о повторяемом поведении клиента.
  - Длительность следа операций: длинный след. Операции растянуты примерно на 20,1 дня, у профиля есть временная глубина.
  - Надёжность выводов по профилю: устойчивая. По клиенту накоплено достаточно наблюдений, чтобы воспринимать профиль как устойчивый.
- Темп и ритм:
  - Интенсивность операций: очень высокий. Относительно остальных профилей в выборке клиент проводит операции заметно чаще. Такой темп выглядит плотнее обычного клиентского поведения.
  - Паузы между операциями: умеренный. Паузы между операциями находятся примерно в средней зоне выборки: профиль не выглядит ни явно растянутым, ни резко ускоренным.
  - Плотные серии операций: очень высокая. Плотные серии встречаются часто: 95,0%. Профиль похож на быстрое прокручивание средств.
  - Распределение активности по дням: всплесками. Активность замечена только в 19,0% дней наблюдаемого периода. Профиль выглядит более эпизодическим и всплесковым.
- Денежный рисунок:
  - Совокупный оборот: очень высокий. За весь наблюдаемый след по профилю прошло около $2 993.30. По масштабу это очень высокий уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: умеренный. Типичный размер одной операции около $49.07. Это умеренный чек относительно выборки.
  - Разброс сумм: высокий. Оценочный разброс вокруг типичного чека около $40.67. Суммы операций сильно скачут от операции к операции.
  - Повторы одних и тех же сумм: умеренная. Одинаковые суммы встречаются заметно: 39,3%. В профиле уже есть элементы повторяемого паттерна.
  - Неровные суммы: очень высокая. Неровных сумм много: 100,0%. Суммы часто выглядят нетипично для спокойного клиентского профиля.
- Сценарий движения средств:
  - Дебетовый контур операций: очень высокая. В профиле сильно преобладают операции по дебетовым картам: 100,0% среди операций с понятным карточным контуром. Такой рисунок ближе к сценарию активного расходования или перевода средств дальше.
  - Операции в более рискованных платёжных каналах: очень высокая. Значительная часть оборота идёт через более рискованные платёжные каналы: 100,0%. В обучающей базе набор C/H/S был связан с fraud заметно чаще, чем остальные каналы, поэтому это сильный сигнал на ручную проверку.
  - Объём в риск-каналах относительно обычного чека: много чеков. Через более рискованные каналы прошёл крупный для этого клиента объём: около 61.0 средних чеков.
  - Признак быстрого прогона заметных сумм: очень высокая. Одновременно выражены и более рискованные каналы, и заметный средний чек. Для ручной проверки это выглядит как сценарий быстрого прогона ощутимых сумм.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: один сценарий. В наблюдаемой истории клиент действует в одном и том же платёжном сценарии.
  - Карточный профиль: контекст. Основная платёжная система: visa; тип карты: debit.
  - След устройства и онлайн-сеанса: след насыщенный. По клиенту собралось много технических данных: устройство и сеанс видны достаточно подробно.
  - Смена устройств: высокий. В истории замечено 2 типа устройства.
  - Почтовый домен: обычная почта. Основной домен почты — gmail.com. Это распространённый публичный почтовый домен, сам по себе он не выглядит странно.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R004,пропуск,на контроль,пропуск,0.0,1,0,0,пропуск,2,1,на контроль
R005,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,5,realistic_base_rate,17781_253.0_85,0.0032633932302618,0,base_realistic,lgbm_auc_unweighted_seed2026,27897,1,68.5,68.5,0.0,1.0,1.0,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0.1,1,1,mastercard,debit,0.0,gmail.com,0,0,0,0,,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: очень низкий. В профиле только 1 операция. Это почти пустая история: по ней видно конкретный эпизод, но ещё плохо видно обычное поведение клиента.
  - Длительность следа операций: однодневный след. Вся наблюдаемая активность уложилась в один день или меньше.
  - Надёжность выводов по профилю: очень короткая. Данных по клиенту пока очень мало, поэтому любые выводы стоит считать предварительными.
- Темп и ритм:
  - Интенсивность операций: умеренный. Интенсивность операций близка к средней части выборки: профиль не выглядит ни явно редким, ни чрезмерно плотным по темпу.
  - Паузы между операциями: нет данных. Для оценки пауз между операциями данных пока не хватает.
  - Плотные серии операций: очень низкая. Плотные серии встречаются редко: 0,0%. Деньги не выглядят как поток, который постоянно проходит почти без пауз.
  - Распределение активности по дням: равномерно по дням. Активность замечена в 100,0% дней наблюдаемого периода. Поведение распределено по времени, а не собрано в короткий всплеск.
- Денежный рисунок:
  - Совокупный оборот: умеренный. За весь наблюдаемый след по профилю прошло около $68.50. По масштабу это умеренный уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: умеренный. Типичный размер одной операции около $68.50. Это умеренный чек относительно выборки.
  - Разброс сумм: очень низкий. Оценочный разброс вокруг типичного чека около $0.00. Суммы операций в истории в основном похожи друг на друга.
  - Повторы одних и тех же сумм: очень низкая. Одинаковые суммы почти не повторяются: 0,0%. Поведение не выглядит шаблонным по суммам.
  - Неровные суммы: очень высокая. Неровных сумм много: 100,0%. Суммы часто выглядят нетипично для спокойного клиентского профиля.
- Сценарий движения средств:
  - Дебетовый контур операций: очень высокая. В профиле сильно преобладают операции по дебетовым картам: 100,0% среди операций с понятным карточным контуром. Такой рисунок ближе к сценарию активного расходования или перевода средств дальше.
  - Операции в более рискованных платёжных каналах: очень низкая. Через более рискованные платёжные каналы проходит малая часть оборота: 0,0%. В обучающей базе каналы C/H/S в сумме давали около 9,1% fraud против 2,2% у остальных, но у этого клиента такой сигнал выражен слабо.
  - Объём в риск-каналах относительно обычного чека: нет заметного объёма. Через более рискованные каналы почти не было оборота относительно обычного размера операции клиента.
  - Признак быстрого прогона заметных сумм: очень низкая. Сочетание рискованных каналов и заметных сумм выражено слабо: профиль не похож на быстрый прогон ощутимых денег.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: один сценарий. В наблюдаемой истории клиент действует в одном и том же платёжном сценарии.
  - Карточный профиль: контекст. Основная платёжная система: mastercard; тип карты: debit.
  - След устройства и онлайн-сеанса: данных мало. По клиенту почти нет технической информации об устройстве, браузере и онлайн-сеансе.
  - Смена устройств: нет данных. Данных о разнообразии устройств нет.
  - Почтовый домен: обычная почта. Основной домен почты — gmail.com. Это распространённый публичный почтовый домен, сам по себе он не выглядит странно.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R005,пропуск,пропуск,пропуск,0.0,0,0,0,пропуск,3,0,пропуск
R006,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,6,realistic_base_rate,17399_204.0_18,0.1441609026175004,0,base_realistic,lgbm_auc_unweighted_seed2026,167310,6,3252.85,542.1416666666667,690.5038120922208,6.0,1.0,15054.6,1.0,0.3333333333333333,0.5,1.0,0.0230567041209944,0.1383402247257543,0.0230142534943237,0,0.6,2,1,mastercard,debit,0.8712152777777777,bellsouth.net,1,27,2,49,2.0,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: высокий. В профиле 6 операций. История ограниченная, но в ней уже есть несколько точек для сравнения темпа, сумм и платёжных сценариев.
  - Длительность следа операций: короткий след. Операции растянуты примерно на 0,9 дня, профиль пока короткий.
  - Надёжность выводов по профилю: достаточная. Истории уже хватает для анализа, хотя запас наблюдений ещё не максимальный.
- Темп и ритм:
  - Интенсивность операций: очень высокий. Относительно остальных профилей в выборке клиент проводит операции заметно чаще. Такой темп выглядит плотнее обычного клиентского поведения.
  - Паузы между операциями: высокий. Паузы между операциями короче, чем у большинства профилей в выборке. Операции идут плотнее и ближе друг к другу по времени.
  - Плотные серии операций: очень высокая. Плотные серии встречаются часто: 100,0%. Профиль похож на быстрое прокручивание средств.
  - Распределение активности по дням: равномерно по дням. Активность замечена в 100,0% дней наблюдаемого периода. Поведение распределено по времени, а не собрано в короткий всплеск.
- Денежный рисунок:
  - Совокупный оборот: очень высокий. За весь наблюдаемый след по профилю прошло около $3 252.85. По масштабу это очень высокий уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: очень высокий. Типичный размер одной операции около $542.14. Это очень высокий чек относительно выборки.
  - Разброс сумм: очень высокий. Оценочный разброс вокруг типичного чека около $690.50. Суммы операций сильно скачут от операции к операции.
  - Повторы одних и тех же сумм: умеренная. Одинаковые суммы встречаются заметно: 33,3%. В профиле уже есть элементы повторяемого паттерна.
  - Неровные суммы: умеренная. Неровные суммы встречаются периодически: 50,0%. Это уже заметный, но не экстремальный сигнал.
- Сценарий движения средств:
  - Дебетовый контур операций: очень высокая. В профиле сильно преобладают операции по дебетовым картам: 100,0% среди операций с понятным карточным контуром. Такой рисунок ближе к сценарию активного расходования или перевода средств дальше.
  - Операции в более рискованных платёжных каналах: очень низкая. Через более рискованные платёжные каналы проходит малая часть оборота: 2,3%. В обучающей базе каналы C/H/S в сумме давали около 9,1% fraud против 2,2% у остальных, но у этого клиента такой сигнал выражен слабо.
  - Объём в риск-каналах относительно обычного чека: меньше одного чека. Через более рискованные каналы прошёл объём меньше одного обычного чека клиента: примерно 0.1 среднего чека.
  - Признак быстрого прогона заметных сумм: очень низкая. Сочетание рискованных каналов и заметных сумм выражено слабо: профиль не похож на быстрый прогон ощутимых денег.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: два сценария. Клиент переключается между двумя платёжными сценариями.
  - Карточный профиль: контекст. Основная платёжная система: mastercard; тип карты: debit.
  - След устройства и онлайн-сеанса: след насыщенный. По клиенту собралось много технических данных: устройство и сеанс видны достаточно подробно.
  - Смена устройств: высокий. В истории замечено 2 типа устройства.
  - Почтовый домен: редкий домен. Основной домен почты — bellsouth.net. Это не один из самых массовых публичных доменов, поэтому его лучше воспринимать как дополнительный контекст для проверки.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R006,на контроль,в блок,пропуск,1.0,2,0,2,в блок,1,0,пропуск
R007,experiment_1_realistic_flow,Эксперимент 1: спокойный рабочий поток,7,realistic_base_rate,11465_264.0_31,0.003382894269733,0,base_realistic,lgbm_auc_unweighted_seed2026,63074,1,39.0,39.0,0.0,1.0,1.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.1,1,1,visa,debit,0.0,yahoo.com,0,0,0,0,,"Что известно по профилю:
- История профиля:
  - Объём наблюдаемой истории: очень низкий. В профиле только 1 операция. Это почти пустая история: по ней видно конкретный эпизод, но ещё плохо видно обычное поведение клиента.
  - Длительность следа операций: однодневный след. Вся наблюдаемая активность уложилась в один день или меньше.
  - Надёжность выводов по профилю: очень короткая. Данных по клиенту пока очень мало, поэтому любые выводы стоит считать предварительными.
- Темп и ритм:
  - Интенсивность операций: умеренный. Интенсивность операций близка к средней части выборки: профиль не выглядит ни явно редким, ни чрезмерно плотным по темпу.
  - Паузы между операциями: нет данных. Для оценки пауз между операциями данных пока не хватает.
  - Плотные серии операций: очень низкая. Плотные серии встречаются редко: 0,0%. Деньги не выглядят как поток, который постоянно проходит почти без пауз.
  - Распределение активности по дням: равномерно по дням. Активность замечена в 100,0% дней наблюдаемого периода. Поведение распределено по времени, а не собрано в короткий всплеск.
- Денежный рисунок:
  - Совокупный оборот: низкий. За весь наблюдаемый след по профилю прошло около $39.00. По масштабу это низкий уровень относительно остальных клиентов в выборке.
  - Типичный размер операции: низкий. Типичный размер одной операции около $39.00. Это низкий чек относительно выборки.
  - Разброс сумм: очень низкий. Оценочный разброс вокруг типичного чека около $0.00. Суммы операций в истории в основном похожи друг на друга.
  - Повторы одних и тех же сумм: очень низкая. Одинаковые суммы почти не повторяются: 0,0%. Поведение не выглядит шаблонным по суммам.
  - Неровные суммы: очень низкая. Неровные суммы почти не встречаются: 0,0%. Большинство операций выглядит привычно по форме суммы.
- Сценарий движения средств:
  - Дебетовый контур операций: очень высокая. В профиле сильно преобладают операции по дебетовым картам: 100,0% среди операций с понятным карточным контуром. Такой рисунок ближе к сценарию активного расходования или перевода средств дальше.
  - Операции в более рискованных платёжных каналах: очень низкая. Через более рискованные платёжные каналы проходит малая часть оборота: 0,0%. В обучающей базе каналы C/H/S в сумме давали около 9,1% fraud против 2,2% у остальных, но у этого клиента такой сигнал выражен слабо.
  - Объём в риск-каналах относительно обычного чека: нет заметного объёма. Через более рискованные каналы почти не было оборота относительно обычного размера операции клиента.
  - Признак быстрого прогона заметных сумм: очень низкая. Сочетание рискованных каналов и заметных сумм выражено слабо: профиль не похож на быстрый прогон ощутимых денег.
- Технический и продуктовый контекст:
  - Платёжный сценарий клиента: один сценарий. В наблюдаемой истории клиент действует в одном и том же платёжном сценарии.
  - Карточный профиль: контекст. Основная платёжная система: visa; тип карты: debit.
  - След устройства и онлайн-сеанса: данных мало. По клиенту почти нет технической информации об устройстве, браузере и онлайн-сеансе.
  - Смена устройств: нет данных. Данных о разнообразии устройств нет.
  - Почтовый домен: обычная почта. Основной домен почты — yahoo.com. Это распространённый публичный почтовый домен, сам по себе он не выглядит странно.

Вопрос для эксперта:
- Какое решение вы бы приняли: `пропуск`, `на контроль` или `в блок`?
",R007,на контроль,пропуск,пропуск,1.0,0,0,0,пропуск,2,0,пропуск
